u_offset_px,u_offset,rmse
-4.0,-0.07999999821186066,0.6400135976532019
-3.5,-0.07000000029802322,0.638773971212943
-3.0,-0.05999999865889549,0.6376176792833478
-2.5,-0.05000000074505806,0.6365703671898723
-2.0,-0.03999999910593033,0.6356708356444839
-1.5,-0.029999999329447746,0.6349112016529308
-1.0,-0.019999999552965164,0.6343456224094894
-0.5,-0.009999999776482582,0.6339612496572945
0.0,0.0,0.6337684234277675
0.5,0.009999999776482582,0.6338185367483693
1.0,0.019999999552965164,0.634023289845823
1.5,0.029999999329447746,0.6344320282166148
2.0,0.03999999910593033,0.6349911065492121
2.5,0.05000000074505806,0.6356614681902755
3.0,0.05999999865889549,0.6364924074480167
3.5,0.07000000029802322,0.6374025349661984
4.0,0.07999999821186066,0.6383865271642863
